TCK	SDE	TRT	SYM	MKT	PRC	DTP	SIZ	VAL	BRK	MBR	ACC	ACT	GRP	ORD	UID	BNK	BKA	STD	DIN	FST	CLT	GRS	FAL	ALD	EXT	STY	REF	STS	SSL	OTK	CLC	LQI	IAC	ORF	TAC	TDV	ETK	TTY	CYL	OSQ	NEG	ALG
16844221	1	2018-11-07 11:15:52.915	SIF2	REGS	1.288000	1.288000	10	12.880000	K8	K8	4848008	1	0	39542962	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247998086	A	N
16844222	1	2018-11-07 11:15:52.916	SIF2	REGS	1.288000	1.288000	90	115.920000	K8	K8	4848008	1	0	39542962	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247998088	A	N
16844233	1	2018-11-07 11:18:07.613	SIF5	REGS	2.150000	2.150000	10	21.500000	K8	K8	4848008	1	0	39543008	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247999897	A	N
16844234	1	2018-11-07 11:18:07.615	SIF5	REGS	2.150000	2.150000	80	172.000000	K8	K8	4848008	1	0	39543008	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	247999899	A	N
16844240	2	2018-11-07 11:18:20.36	SNP	REGS	0.394000	0.394000	3000	1182.000000	K8	K8	4848008	1	0	39542176	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032638		4848008	XBSE		REG	0	248000171	A	N
16844251	1	2018-11-07 11:18:24.204	SIF5	REGS	2.155000	2.155000	100	215.500000	K8	K8	4848008	1	0	39543056	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028733		4848008	XBSE		REG	0	248000276	A	N
16844252	2	2018-11-07 11:18:49.948	IARV	REGS	7.400000	7.400000	5	37.000000	K8	K8	4848008	1	0	39543007	UK8TRAMAR			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	220		4848008	XBSE		REG	0	248000735	A	N
16844283	2	2018-11-07 11:25:29.442	CEON	REGS	0.355000	0.355000	14350	5094.250000	K8	K8	4848008	1	0	39531991	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032931		4848008	XBSE		REG	0	248004737	A	N
16844285	2	2018-11-07 11:25:44.452	IARV	REGS	7.400000	7.400000	20	148.000000	K8	K8	4848008	1	0	39544163	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	3105		4848008	XBSE		REG	0	248004758	A	N
16844286	1	2018-11-07 11:26:03.645	SIF4	REGS	0.610000	0.610000	7655	4669.550000	K8	K8	4848008	1	0	39542942	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	1032913		4848008	XBSE		REG	0	248004815	A	N
