SYM	MKT	EFD	VAL	VAD	VOL	TRD	OPN	CLS	AVG	LOW	HIG	CLA	CLP	CAA	CAP	UTI	ISI	RPR	RPT	PMK	CRF
SCBC	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.332	ROSCBCACNOR0	9.300000	1	0	9.300000
SCBC	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.6	ROSCBCACNOR0	9.300000	1	1	9.300000
SCD	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.804	ROSCDBACNOR8	3.420000	2	0	3.300000
SCD	REGS	20181108	6604.700000	6604.700000	1998	5	3.310000	3.300000	3.310000	3.300000	3.310000	-0.120000	-3.510000	-0.110000	-3.220000	2018-11-08 16:57:15.62	ROSCDBACNOR8	3.420000	2	1	3.300000
SCDM	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.349	ROSCDMACNOR5	36.600000	1	0	37.400000
SCDM	XRS1	20181108	22004.000000	22004.000000	589	6	37.200000	37.200000	37.400000	37.200000	38.600000	0.600000	1.640000	0.800000	2.190000	2018-11-08 17:01:06.092	ROSCDMACNOR5	36.600000	1	1	37.400000
SCPS	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.709	ROSCPSACNOR6	0.550000	2	0	0.550000
SCPS	REGS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:13.588	ROSCPSACNOR6	0.550000	2	1	0.550000
SCTB	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.25	ROSCTBACNOR4	0.732000	1	0	0.732000
SCTB	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.476	ROSCTBACNOR4	0.732000	1	1	0.732000
SEBZ	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.285	ROSEBZACNOR7	2.410000	1	0	2.410000
SEBZ	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.53	ROSEBZACNOR7	2.410000	1	1	2.410000
SECE	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:13.93	ROSECEACNOR0	0.400000	1	0	0.400000
SECE	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.784	ROSECEACNOR0	0.400000	1	1	0.400000
SELC	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.384	ROSELCACNOR5	0.660000	1	0	0.660000
SELC	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.676	ROSELCACNOR5	0.660000	1	1	0.660000
SEOL	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.345	ROSEOLACNOR0	0.600000	1	0	0.600000
SEOL	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.628	ROSEOLACNOR0	0.600000	1	1	0.600000
SEOM	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.312	ROSEOMACNOR8	0.955000	1	0	0.955000
SEOM	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.57	ROSEOMACNOR8	0.955000	1	1	0.955000
SERC	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:13.937	ROSERCACNOR2	4.960000	1	0	2.460000
SERC	XRS1	20181108	792.120000	792.120000	322	4	2.460000	2.460000	2.460000	2.460000	2.460000	-2.500000	-50.400000	-2.500000	-50.400000	2018-11-08 17:46:54.971	ROSERCACNOR2	4.960000	1	1	2.460000
SEVE	POFAV	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.553	ROSEVEACNOR0	4.800000	1	0	4.800000
SEVE	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.246	ROSEVEACNOR0	4.800000	1	0	4.800000
SEVE	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.479	ROSEVEACNOR0	4.800000	1	1	4.800000
SFG	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.78	ROSFGPACNOR4	23.000000	2	0	23.000000
SFG	REGS	20181108	23318.700000	23318.700000	1025	11	22.700000	23.000000	22.800000	22.700000	23.300000	0.000000	0.000000	-0.200000	-0.870000	2018-11-08 14:04:15.614	ROSFGPACNOR4	23.000000	2	1	23.000000
SIDG	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.291	ROSIDGACNOR4	0.360000	1	0	0.360000
SIDG	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 10:00:44.129	ROSIDGACNOR4	0.360000	1	1	0.360000
SIE	XDSI	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.59	DE0007236101	473.750000	1	0	473.750000
SIE	XRSI	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 17:27:13.146	DE0007236101	473.750000	1	1	473.750000
SIEP	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:13.888	ROSIEPACNOR3	0.100000	1	0	0.100000
SIEP	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.723	ROSIEPACNOR3	0.100000	1	1	0.100000
SIF1	BUY-IN	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.657	ROSIFAACNOR2	2.470000	2	0	2.430000
SIF1	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.766	ROSIFAACNOR2	2.470000	2	0	2.430000
SIF1	REGS	20181108	73554.610000	73554.610000	30087	42	2.440000	2.430000	2.440000	2.430000	2.450000	-0.040000	-1.620000	-0.030000	-1.210000	2018-11-08 17:57:39.987	ROSIFAACNOR2	2.470000	2	1	2.430000
